polygon,polygon_type,label
LAMPUNG SELATAN_PURWODADI SIMPANG,DESA,NDEZNET_DESAQ2
MAGETAN_BANGUNASRI,DESA,NDEZNET_DESAQ2
MAGETAN_GEPLAK,DESA,NDEZNET_DESAQ2
MADIUN_MOJOREJO,DESA,NDEZNET_DESAQ2
PONOROGO_CEKOK,DESA,NDEZNET_DESAQ2
PONOROGO_MENANG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_LUBUK ALUNG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_AIE TAJUN LUBUK ALUNG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_SIKABU LUBUK ALUNG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_SALIBUTAN LUBUK ALUNG,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_KURAI TAJI TIMUR,DESA,NDEZNET_DESAQ2
PADANG PARIAMAN_BISATI SUNGAI SARIAK,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_PASIR SUNUR,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_KEL. UJUNG BATUNG,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_TALAGO SARIK,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_SUNGAI SIRAH,DESA,NDEZNET_DESAQ2
KOTA PARIAMAN_KALUAT,DESA,NDEZNET_DESAQ2
KARANGANYAR_POJOK,DESA,NDEZNET_DESAQ2
KARANGANYAR_KRENDOWAHONO,DESA,NDEZNET_DESAQ2
KARANGANYAR_REJOSARI,DESA,NDEZNET_DESAQ2
KARANGANYAR_JATISAWIT,DESA,NDEZNET_DESAQ2
WONOGIRI_JATIMARTO,DESA,NDEZNET_DESAQ2
SUKOHARJO_KLASEMAN,DESA,NDEZNET_DESAQ2
KLATEN_SAWAHAN,DESA,NDEZNET_DESAQ2
KLATEN_TIJAYAN,DESA,NDEZNET_DESAQ2
KLATEN_LESES,DESA,NDEZNET_DESAQ2
KLATEN_SOLODIRAN,DESA,NDEZNET_DESAQ2
KLATEN_SUMYANG,DESA,NDEZNET_DESAQ2
KLATEN_TROTOK,DESA,NDEZNET_DESAQ2
KLATEN_KADILANGGON,DESA,NDEZNET_DESAQ2
KLATEN_TOWANGSAN,DESA,NDEZNET_DESAQ2
KLATEN_GESIKAN,DESA,NDEZNET_DESAQ2
BOYOLALI_SAMBON,DESA,NDEZNET_DESAQ2
BOYOLALI_JIPANGAN,DESA,NDEZNET_DESAQ2
BOYOLALI_PARAS,DESA,NDEZNET_DESAQ2
NGAWI_BANYUBIRU,DESA,NDEZNET_DESAQ2
NGAWI_KEDUNGPUTRI,DESA,NDEZNET_DESAQ2
NGAWI_BANJARANSARI,DESA,NDEZNET_DESAQ2
NGAWI_BRANGOL,DESA,NDEZNET_DESAQ2
NGAWI_RANDUSONGO,DESA,NDEZNET_DESAQ2
NGAWI_KERSIKAN,DESA,NDEZNET_DESAQ2
NGAWI_PLOSO,DESA,NDEZNET_DESAQ2
NGAWI_SUMBERSARI,DESA,NDEZNET_DESAQ2
MAGETAN_NGILIRAN,DESA,NDEZNET_DESAQ2
MAGETAN_SIDOMULYO,DESA,NDEZNET_DESAQ2
MAGETAN_BANYUDONO,DESA,NDEZNET_DESAQ2
MAGETAN_NGURI,DESA,NDEZNET_DESAQ2
MAGETAN_PRAGAK,DESA,NDEZNET_DESAQ2
MADIUN_BOLO,DESA,NDEZNET_DESAQ2
MADIUN_KETANDAN,DESA,NDEZNET_DESAQ2
MADIUN_SUKOREJO,DESA,NDEZNET_DESAQ2
JEMBER_SUGERKIDUL,DESA,NDEZNET_DESAQ2
JEMBER_LEDOKOMBO,DESA,NDEZNET_DESAQ2
JEMBER_SUMBERSALAK,DESA,NDEZNET_DESAQ2
JEMBER_SUMBERKALONG,DESA,NDEZNET_DESAQ2
JEMBER_SUKORENO,DESA,NDEZNET_DESAQ2
JEMBER_SUMBERKETEMPA,DESA,NDEZNET_DESAQ2
JEMBER_SUMBERPINANG,DESA,NDEZNET_DESAQ2
JEMBER_KEMIRI,DESA,NDEZNET_DESAQ2
